Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS00213,83950,BPS-H80-033434,Mountainlands Community Health Center - Payson 2,285 N 1250 E,Payson,UT,84651-5794,801-429-2000,www.mountainlands.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/15/2021,"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC.",589 S State St,Provo,UT,84606-5056,"Corporate Entity, Federal Tax Exempt",-111.7112505,40.04682016,N,N,49049,Utah County,Utah,County            ,8,Region 8,49,Utah,4904,4,Utah District 04,UT-04,Burgess Owens,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-022078,Montezuma Creek Community Health Center,State Rte-162,Montezuma Creek,UT,84534,435-651-3700,www.unhsinc.org,56,7,All Other Clinic Types,1,Active,461818,1811991151,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/4/2018,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-109.332188,37.273597,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00321,100180,BPS-H80-038294,HEALTH WEST - PROVIDENCE CHC,517 W 100 N STE 110,Providence,UT,84332-9826,435-755-6075,www.healthwestinc.org,50,7,All Other Clinic Types,1,Active,461006,1528774452,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/21/2024,"HEALTH WEST, INC",500 S 11th Ave STE 400,Pocatello,ID,83201-4880,"Corporate Entity, Federal Tax Exempt",-111.8305603,41.71016194,N,N,49005,Cache County,Cache,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00213,83950,BPS-H80-013946,Mountainlands Family Health Center Vernal Dental Clinic,133 S 500 E,Vernal,UT,84078-2728,435-247-1177,,32,7,All Other Clinic Types,1,Active,U000071433,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,6/18/2014,"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC.",589 S State St,Provo,UT,84606-5056,"Corporate Entity, Federal Tax Exempt",-109.5189339,40.45395156,N,N,49047,Uintah County,Uintah,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00518,83440,BPS-H80-038397,Price Clinic,92 N 400 E,Price,UT,84501-2509,435-637-6338,,40,7,All Other Clinic Types,1,Active,461869,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/29/2024,"CARBON MEDICAL SERVICE ASSOCIATION, INCORPORATED",305 Center St,East Carbon,UT,84520-7726,"Corporate Entity, Federal Tax Exempt",-110.8035405,39.60079088,N,N,49007,Carbon County,Carbon,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-013581,Bear River Health Clinic,440 W 600 N,Tremonton,UT,84337-2400,435-257-3318,,20,7,All Other Clinic Types,1,Active,461847,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,2/6/2014,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-112.1725366,41.71882929,N,N,49003,Box Elder County,Box Elder,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26644,08E01071,BPS-H80-017311,Utah Partners for Health Mobile Eye Clinic,8446 S Harrison St,Midvale,UT,84047-3501,801-417-0131,,19.5,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/25/2015,UTAH PARTNERS FOR HEALTH,7651 S Main St,Midvale,UT,84047-7101,"Corporate Entity, Federal Tax Exempt",-111.9004381,40.59802165,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00644,82480,BPS-H80-003242,"ENTERPRISE VALLEY MED CLINIC, INC.",223 S 200 E,Enterprise,UT,84725,435-878-2281,evmc.org,48,7,All Other Clinic Types,1,Active,461803,1659457786,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1984,"ENTERPRISE VALLEY MEDICAL CLINIC, INC",223 S 200 E,Enterprise,UT,84725,"Corporate Entity, Federal Tax Exempt",-113.7166729,37.56989472,N,N,49053,Washington County,Washington,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00519,82240,BPS-H80-037569,WCHC Administration Building,357 W 100 S BLDG,Bicknell,UT,84715-7762,435-425-3744,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/18/2023,WAYNE COMMUNITY HEALTH CENTERS INC,128 S 300 W,Bicknell,UT,84715-7722,"Corporate Entity, Federal Tax Exempt",-111.5507553,38.34207619,N,N,49055,Wayne County,Wayne,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00518,83440,BPS-H80-027731,"Carbon Medical Service Association, Inc.",331 E Hwy 123,Sunnyside,UT,84539,435-888-4411,carbonmedicalservice.com,60,7,All Other Clinic Types,1,Active,461801,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/9/2019,"CARBON MEDICAL SERVICE ASSOCIATION, INCORPORATED",305 Center St,East Carbon,UT,84520-7726,"Corporate Entity, Federal Tax Exempt",-110.393285,39.54970033,N,N,49007,Carbon County,Carbon,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-039019,UNHS Mobile Mammography Unit,State Rte-162,Montezuma Creek,UT,84534,435-678-0601,,8,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/5/2024,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-109.332188,37.273597,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00213,83950,BPS-H80-013490,Mountainlands Community Health Center - Vernal,1680 W Highway 40 STE 201,Vernal,UT,84078-4142,801-429-2000,www.mountainlands.org,40,7,All Other Clinic Types,1,Active,461839,1801226907,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/24/2013,"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC.",589 S State St,Provo,UT,84606-5056,"Corporate Entity, Federal Tax Exempt",-109.560511,40.44270771,N,N,49047,Uintah County,Uintah,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00564,86120,BPS-H80-037306,Fremont County Pediatrics and Community Health,8185 State Highway 789,Lander,WY,82520-2942,307-332-2185,www.chccw.org,40,7,All Other Clinic Types,1,Active,,1234567890,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/21/2023,"COMMUNITY HEALTH CENTER OF CENTRAL WYOMING, INC.",5000 Blackmore Rd,Casper,WY,82609-3345,"Corporate Entity, Federal Tax Exempt",-108.7215143,42.83438517,N,N,56013,Fremont County,Fremont,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00321,100180,BPS-H80-038300,HEALTH WEST - EVANSTON CHC,"75 Yellow Creek Rd, Ste 102",Evanston,WY,82930-5205,307-789-8290,www.healthwestinc.org,45,7,All Other Clinic Types,1,Active,531000,1619683547,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/21/2024,"HEALTH WEST, INC",500 S 11th Ave STE 400,Pocatello,ID,83201-4880,"Corporate Entity, Federal Tax Exempt",-110.9682803,41.25513667,N,N,56041,Uinta County,Uinta,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00042,84620,BPS-H80-039228,"Community Action of Laramie County, Inc.",1700 Westland Rd,Cheyenne,WY,82001-3322,307-635-9291,https://www.calc.net/,40,7,All Other Clinic Types,1,Active,116157,1043436983,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/20/2024,"COMMUNITY ACTION OF LARAMIE COUNTY, INC.",1700 Westland Rd,Cheyenne,WY,82001-3322,"Corporate Entity, Federal Tax Exempt",-104.8391919,41.12539474,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-035944,One Health - Mobile Medical Van,128 N Bent St,Powell,WY,82435-2712,307-764-4107,,8,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/14/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-108.7575933,44.75363757,N,N,56029,Park County,Park,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-038321,One Health - Cody Clinic,902 Blackburn St STE F,Cody,WY,82414-8494,307-291-0447,,42,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/22/2024,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-109.0425196,44.52853146,N,N,56029,Park County,Park,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00042,84620,BPS-H80-015141,Crossroads Healthcare Mobile Clinic,100 Central Ave,Cheyenne,WY,82007-1330,307-632-8064,,7,7,All Other Clinic Types,1,Active,531802,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/26/2015,"COMMUNITY ACTION OF LARAMIE COUNTY, INC.",1700 Westland Rd,Cheyenne,WY,82001-3322,"Corporate Entity, Federal Tax Exempt",-104.8077729,41.12011163,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00564,86120,BPS-H80-010142,Community Health Center of Central Wyoming,5000 Blackmore Rd,Casper,WY,82609-3345,307-233-6000,http//www.chccw.org,168,7,All Other Clinic Types,1,Active,308471,1447480561,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,10/1/2010,"COMMUNITY HEALTH CENTER OF CENTRAL WYOMING, INC.",5000 Blackmore Rd,Casper,WY,82609-3345,"Corporate Entity, Federal Tax Exempt",-106.2578773,42.84134227,N,N,56025,Natrona County,Natrona,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS04196,814640,BPS-H80-035904,MobileVan3E350,2508 E Fox Farm Rd STE 1A,Cheyenne,WY,82007-2559,307-635-3618,,168,2,School,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/7/2022,CHEYENNE HEALTH AND WELLNESS CENTER,"2508 E Fox Farm Rd, Ste 2",Cheyenne,WY,82007-2559,"Corporate Entity, Federal Tax Exempt",-104.769201,41.11663234,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-035946,One Health - Powell BH,130 N Bent St STE B,Powell,WY,82435-2742,307-764-4107,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/13/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-108.7576249,44.75372415,N,N,56029,Park County,Park,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00321,100180,BPS-H80-038296,HEALTH WEST - ROCK SPRINGS CHC,2620 Commercial Way,Rock Springs,WY,82901-4671,307-212-5116,www.healthwestinc.org,49,7,All Other Clinic Types,1,Active,531001,1992411821,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/21/2024,"HEALTH WEST, INC",500 S 11th Ave STE 400,Pocatello,ID,83201-4880,"Corporate Entity, Federal Tax Exempt",-109.2568364,41.5819526,N,N,56037,Sweetwater County,Sweetwater,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS04196,814640,BPS-H80-035886,MobileVan2-Mercedes,2508 E Fox Farm Rd STE 1A,Cheyenne,WY,82007-2559,307-635-3618,,168,2,School,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/4/2022,CHEYENNE HEALTH AND WELLNESS CENTER,"2508 E Fox Farm Rd, Ste 2",Cheyenne,WY,82007-2559,"Corporate Entity, Federal Tax Exempt",-104.769201,41.11663234,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS02330,83970,BPS-H80-031984,Healthcare for the Homeless - Mobile,1514 E 12th St UNIT 201,Casper,WY,82601-4080,307-235-6116,www.capnc.org,5,7,All Other Clinic Types,1,Active,1629121330,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/3/2021,FRIENDS OF THE COMMUNITY ACTION PARTNERSHIP OF NATRONA COUNTY,606 S David St,Casper,WY,82601-3136,U.S. Government Entity,-106.3044459,42.84068471,N,N,56025,Natrona County,Natrona,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-038433,One Health - Whitney Building,31 E Whitney St,Sheridan,WY,82801,307-674-6995,onechc.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/19/2024,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-106.9554757,44.79461728,N,N,56033,Sheridan County,Sheridan,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-035948,One Health - Powell,128 N Bent St,Powell,WY,82435-2712,307-764-4107,,40,7,All Other Clinic Types,1,Active,,1568846962,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/13/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-108.7575933,44.75363757,N,N,56029,Park County,Park,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-040012,One Health - Powell,1201 E 7th St,Powell,WY,82435-2126,307-764-4107,https://www.onechc.org/heritage,47,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/27/2025,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-108.739032,44.761327,N,N,56029,Park County,Park,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00704,82160,BPS-H80-030899,Ag Worker Health & Services,212 E 6th St,Powell,WY,82435-1909,307-754-6350,https://www.agworker.org,40,7,All Other Clinic Types,1,Active,531826,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/22/2020,MONTANA MIGRANT & SEASONAL FARM WORKERS,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",-108.7569015,44.75949158,N,N,56029,Park County,Park,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS04196,814640,BPS-H80-019647,Cheyenne Health and Wellness  Center 1C,2508 E Fox Farm Rd # 1C,Cheyenne,WY,82007-2559,307-635-3618,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/12/2017,CHEYENNE HEALTH AND WELLNESS CENTER,"2508 E Fox Farm Rd, Ste 2",Cheyenne,WY,82007-2559,"Corporate Entity, Federal Tax Exempt",-104.769201,41.11663234,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS02330,83970,BPS-H80-035683,Community Action Partnership of Natrona County,606 S David St,Casper,WY,82601-3191,307-232-0124,www.capnc.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,9/26/2022,FRIENDS OF THE COMMUNITY ACTION PARTNERSHIP OF NATRONA COUNTY,606 S David St,Casper,WY,82601-3136,U.S. Government Entity,-106.3266679,42.84429819,N,N,56025,Natrona County,Natrona,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS02330,83970,BPS-H80-003374,HEALTH CARE FOR THE HOMELESS,1514 E 12th St UNIT 201,Casper,WY,82601-4080,307-235-6116,www.capnc.org,40,7,All Other Clinic Types,1,Active,531803,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/12/1992,FRIENDS OF THE COMMUNITY ACTION PARTNERSHIP OF NATRONA COUNTY,606 S David St,Casper,WY,82601-3136,U.S. Government Entity,-106.3044459,42.84068471,N,N,56025,Natrona County,Natrona,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS04196,814640,BPS-H80-035999,Mobile Van1F550,2508 E Fox Farm Rd STE 1A,Cheyenne,WY,82007-2559,307-635-3618,,168,2,School,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/28/2022,CHEYENNE HEALTH AND WELLNESS CENTER,"2508 E Fox Farm Rd, Ste 2",Cheyenne,WY,82007-2559,"Corporate Entity, Federal Tax Exempt",-104.769201,41.11663234,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-035945,One Health - Greybull,444 Greybull Ave,Greybull,WY,82426-2037,307-765-1450,,18,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/13/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-108.0537456,44.48889021,N,N,56003,Big Horn County,Big Horn,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS30723,08E01122,BPS-H80-019630,University of Wyoming Family Medicine Residency Casper,1522 E A St,Casper,WY,82601-2254,307-234-6161,www.wyomingfamilypractice.com,53,7,All Other Clinic Types,1,Active,531818,1558657650,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/11/2017,UNIVERSITY OF WYOMING,1000 E University Ave,Laramie,WY,82071-2000,U.S. Government Entity,-106.3047349,42.85181471,N,N,56025,Natrona County,Natrona,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00042,84620,BPS-H80-031320,Crossroads Healthcare Clinic,100 Central Ave,Cheyenne,WY,82007-1330,307-632-8064,,40,7,All Other Clinic Types,1,Active,27580,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/14/2020,"COMMUNITY ACTION OF LARAMIE COUNTY, INC.",1700 Westland Rd,Cheyenne,WY,82001-3322,"Corporate Entity, Federal Tax Exempt",-104.8077729,41.12011163,N,N,56021,Laramie County,Laramie,County            ,8,Region 8,56,Wyoming,5600,0,Wyoming At Large,WY-00,Harriet M. Hageman,John Barrasso,Cynthia M. Lummis,5/6/2025
